"KEY","dist_to_video_hall"
"uuid:4bb9ed9f-4631-42d9-95aa-88373cfdf6fa",58
"uuid:ee360b97-8b93-4e1b-a970-b42eb706a4e5",35
"uuid:4d4dbf23-d35b-4061-a54c-b47c32890165",109
"uuid:620ce3b0-c58a-4e94-bb79-3fb7a2be3a6b",95
"uuid:b50b1a82-5d9f-49ff-b5b3-56a2f2cd7c4d",14
"uuid:d4e9ee42-94b7-40ba-a773-babb27481221",21
"uuid:5a866d57-e547-4e0e-8ad3-f5f7fa950b41",12
"uuid:86085c8b-4e3d-4b9a-8796-e52f954e3d10",67
"uuid:eb17d7c7-44df-4585-9ece-6a20854eacc4",70
"uuid:81711dfe-3e3d-4af4-b1c7-303f04060c5b",99
"uuid:f8b6c855-b48f-4f78-b2e8-31b5e4a1cd76",134
"uuid:0ce9b2d4-ec5e-43cb-8fbe-0bfe0bf7da4d",40
"uuid:2099c694-aa1a-42b2-8c6e-61f9bb0cc1e1",66
"uuid:47ae92aa-0a98-439b-92b7-36929bd6db73",158
"uuid:eb619dde-87b4-4900-9f39-42ad05f5f122",32
"uuid:6534a613-7525-4470-9cb6-6a2a72326205",60
"uuid:c0293d83-d30e-473b-83cb-9915a256a4fd",90
"uuid:382f7042-e512-4b54-ad36-ced5edf2c3c0",45
"uuid:6a64e792-792f-4f08-8821-f40d15fa2ec6",92
"uuid:ba2302b5-a234-49c2-981d-b228fe39e2bb",74
"uuid:65fba471-7b8f-4cc9-92e9-910eca751e80",33
"uuid:8b4c3eec-b7c7-47a7-98ce-11033381285b",86
"uuid:3d02f468-96cf-4938-90a1-06212e7ec550",73
"uuid:0abfcd93-c23e-4377-a1fd-269a236f4eff",29
"uuid:6693b4ea-4c77-4820-b8bd-51a60ba5239b",34
"uuid:b345894f-dec6-4087-8c9d-2baf8cf90255",21
"uuid:581c62ee-d840-443f-b006-77882373869b",93
"uuid:5d616f70-1c1f-4106-9200-a2789b29e34b",74
"uuid:18d03a98-af47-4bc7-9741-8756b84fda10",95
"uuid:4060012e-b2dc-4627-83ec-e5fdaf05d80c",263
"uuid:e3524339-c0cb-4c33-9fa4-7f419e9b0c3e",232
"uuid:1ec9f434-2109-415b-8cb3-bf4e35c5a220",24
"uuid:b265c8a2-9952-43e0-a686-c01569776164",140
"uuid:b9730be0-e53c-4bce-858d-cda7f09aeca7",366
"uuid:af6808f5-3c4c-41b6-922d-086e8fac9fa3",217
"uuid:5dd0d395-f3ef-4287-a6c7-cdd3e9d55d22",55
"uuid:ff22c58c-b1de-4c4e-9aa2-f2c0e1832ba9",54
"uuid:99345ba9-1b23-4cc8-83a1-27c1f8c2ce06",52
"uuid:ece6581e-d7c8-4772-8f23-4f19c5d14811",39
"uuid:3dccbdf7-d31c-402d-a290-c333b1b765c8",67
"uuid:0cd5ab43-fb3e-4ddb-900e-664e27102b7d",38
"uuid:d0240357-3c1b-42c4-8944-e5c3d3118517",98
"uuid:bb98d500-623a-436a-9716-84d71d404edf",166
"uuid:fab49b8c-e8dc-4e89-bf3c-7c187ea44ff2",117
"uuid:edfcb5cc-76c5-4379-8dec-7175fb4fbc51",93
"uuid:1fdd20e3-de19-4852-8cef-6a97365a0f88",108
"uuid:be2f6288-0c9b-473d-a400-68b890cebf2a",34
"uuid:77694b83-3c36-4154-8b43-6c271fa9fddd",118
"uuid:3076133b-a932-44ea-8b58-1ed8d134bf3c",50
"uuid:7c7edebf-3a64-411a-8112-7c1ec923ea96",51
